========================================================================================
РЕЕСТР УГОЛОВНЫХ ДЕЛ С ПОВТОРНЫМИ ОТМЕНАМИ И ВОЗОБНОВЛЕНИЯМИ (ВОЗОБНОВЛЕНИЙ > 1)
Дата формирования: 13.09.2026, 01:11:55
Всего дел в исходной базе: 6898
Всего дел с повторными возобновлениями: 2076
========================================================================================

[   1] ОВД: 7   | Дело №: 177907   | Возобновлений: [16] | Первая строка: 5511  | Даты: 09.06.2016, 16.06.2016
[   2] ОВД: 20  | Дело №: 161120   | Возобновлений: [16] | Первая строка: 6949  | Даты: 01.07.2016, 28.03.2016, 31.05.2016
[   3] ОВД: 31  | Дело №: 166131   | Возобновлений: [13] | Первая строка: 8063  | Даты: 16.05.2016
[   4] ОВД: 35  | Дело №: 195235   | Возобновлений: [13] | Первая строка: 8830  | Даты: 27.02.2016, 30.05.2016, 10.07.2016, 26.07.2016, 30.06.2016
[   5] ОВД: 31  | Дело №: 195531   | Возобновлений: [12] | Первая строка: 8164  | Даты: 29.06.2016
[   6] ОВД: 1   | Дело №: 104890   | Возобновлений: [11] | Первая строка: 470   | Даты: 12.03.2016, 14.07.2016, 18.04.2016, 11.02.2016
[   7] ОВД: 1   | Дело №: 400001   | Возобновлений: [11] | Первая строка: 1630  | Даты: 20.02.2016, 22.03.2016
[   8] ОВД: 1   | Дело №: 490501   | Возобновлений: [11] | Первая строка: 2077  | Даты: 08.06.2016
[   9] ОВД: 3   | Дело №: 155703   | Возобновлений: [11] | Первая строка: 3571  | Даты: 14.03.2016, 01.03.2016, 26.04.2016, 20.04.2016
[  10] ОВД: 16  | Дело №: 138716   | Возобновлений: [10] | Первая строка: 6401  | Даты: 19.01.2016
[  11] ОВД: 31  | Дело №: 162131   | Возобновлений: [10] | Первая строка: 8032  | Даты: 06.04.2016
[  12] ОВД: 31  | Дело №: 171031   | Возобновлений: [10] | Первая строка: 8087  | Даты: 22.03.2016, 25.04.2016, 17.03.2016
[  13] ОВД: 35  | Дело №: 425035   | Возобновлений: [10] | Первая строка: 8904  | Даты: 16.02.2016, 22.04.2016
[  14] ОВД: 36  | Дело №: 238136   | Возобновлений: [10] | Первая строка: 9628  | Даты: 02.03.2016, 15.04.2016, 22.04.2016
[  15] ОВД: 36  | Дело №: 243936   | Возобновлений: [10] | Первая строка: 9692  | Даты: 22.04.2016, 26.02.2016
