;Код ОВД     ;Год         ;Номер документа      ;Номер престу;Дата пос тановки  в ИЦ     ;Текст решения                                                                                                                                      ;Дата решения            ;Фамилия сл-ля                                            ;Шифр докумен;Дата соз дания за писи     ;Код принятого решения      ;Кто приня л решение (код)     
1;1;1013;1050301;1;18.07.2016;Возобн.приост.ст208ч.1п.1                         ;11.07.2016;СТАРИЦЫНА           ;3;19.07.2016;174;5
2;1;1992;5588;1;28.07.2016;Возобн.приост.ст208ч.1п.2                         ;07.07.2016;ИГРУНИН             ;3;28.07.2016;172;1
3;1;1993;58954;1;22.07.2016;Возобн.приост.ст208ч.1п.2                         ;22.07.2016;СТАРИЦЫНА           ;3;02.08.2016;172;5
4;1;1993;58954;1;18.07.2016;Возобн.приост.ст208ч.1п.2                         ;22.07.2016;СТАРИЦЫНА           ;3;22.07.2016;172;5
5;1;1993;58954;1;18.07.2016;Возобн.приост.ст208ч.1п.2                         ;09.08.2016;ГРИГОРЬЕВА          ;3;19.07.2016;172;5
6;1;1998;28;1;31.05.2016;Возобн.приост.ст208ч.1п.1                         ;17.05.2016;ШЕЛОМЕНЦЕВА         ;3;31.05.2016;174;2
7;1;1999;28;1;31.05.2016;Возобн.приост.ст208ч.1п.1                         ;17.05.2016;ШЕЛОМЕНЦЕВА         ;3;08.06.2016;174;2
8;1;1999;141;1;31.05.2016;Возобн.приост.ст208ч.1п.1                         ;17.05.2016;ШЕЛОМЕНЦЕВА         ;3;31.05.2016;174;2
9;1;1999;284;1;31.05.2016;Возобн.приост.ст208ч.1п.1                         ;17.05.2016;ШЕЛОМЕНЦЕВА         ;3;31.05.2016;174;2
10;1;1999;339;1;31.05.2016;Возобн.приост.ст208ч.1п.1                         ;07.05.2016;ШЕЛОМЕНЦЕВА         ;3;31.05.2016;174;2
11;1;1999;445;1;31.05.2016;Возобн.приост.ст208ч.1п.1                         ;17.05.2016;ШЕЛОМЕНЦЕВА         ;3;31.05.2016;174;2
12;1;1999;729;1;31.05.2016;Возобн.приост.ст208ч.1п.1                         ;27.04.2016;ШЕЛОМЕНЦЕВА         ;3;31.05.2016;174;2
13;1;1999;1049;1;31.05.2016;Возобн.приост.ст208ч.1п.1                         ;17.05.2016;ШЕЛОМЕНЦЕВА         ;3;31.05.2016;174;2
14;1;1999;1205;1;31.05.2016;Возобн.приост.ст208ч.1п.1                         ;20.05.2016;ШЕЛОМЕНЦЕВА         ;3;31.05.2016;174;2
15;1;1999;1275;1;31.05.2016;Возобн.приост.ст208ч.1п.1                         ;17.05.2016;ШЕЛОМЕНЦЕВА         ;3;31.05.2016;174;2
16;1;1999;1332;1;31.05.2016;Возобн.приост.ст208ч.1п.1                         ;17.05.2016;ШЕЛОМЕНЦЕВА         ;3;31.05.2016;174;2
17;1;1999;1675;1;31.05.2016;Возобн.приост.ст208ч.1п.1                         ;17.05.2016;ШЕЛОМЕНЦЕВА         ;3;31.05.2016;174;2
18;1;1999;1781;1;31.05.2016;Возобн.приост.ст208ч.1п.1                         ;17.05.2016;ШЕЛОМЕНЦЕВА         ;3;31.05.2016;174;2
19;1;1999;1837;1;31.05.2016;Возобн.приост.ст208ч.1п.1                         ;20.05.2016;ШЕЛОМЕНЦЕВА         ;3;31.05.2016;174;2
20;1;1999;1895;1;31.05.2016;Возобн.приост.ст208ч.1п.1                         ;17.05.2016;ШЕЛОМЕНЦЕВА         ;3;31.05.2016;174;2
21;1;1999;1905;1;31.05.2016;Возобн.приост.ст208ч.1п.1                         ;20.05.2016;ШЕЛОМЕНЦЕВА         ;3;31.05.2016;174;2
22;1;1999;1912;1;31.05.2016;Возобн.приост.ст208ч.1п.1                         ;20.05.2016;ШЕЛОМЕНЦЕВА         ;3;31.05.2016;174;2
23;1;1999;1942;1;31.05.2016;Возобн.приост.ст208ч.1п.1                         ;20.05.2016;ШЕЛОМЕНЦЕВА         ;3;31.05.2016;174;2
24;1;1999;1988;1;31.05.2016;Возобн.приост.ст208ч.1п.1                         ;20.05.2016;ШЕЛОМЕНЦЕВА         ;3;31.05.2016;174;2
25;1;1999;2008;1;31.05.2016;Возобн.приост.ст208ч.1п.1                         ;20.05.2016;ШЕЛОМЕНЦЕВА         ;3;31.05.2016;174;2
26;1;1999;2032;1;31.05.2016;Возобн.приост.ст208ч.1п.1                         ;20.05.2016;ШЕЛОМЕНЦЕВА         ;3;31.05.2016;174;2
27;1;1999;2105;1;31.05.2016;Возобн.приост.ст208ч.1п.1                         ;20.05.2016;АФАНАСЬЕВА          ;3;31.05.2016;174;2
28;1;1999;2125;1;31.05.2016;Возобн.приост.ст208ч.1п.1                         ;20.05.2016;ШЕЛОМЕНЦЕВА         ;3;31.05.2016;174;2
29;1;1999;2127;1;31.05.2016;Возобн.приост.ст208ч.1п.1                         ;20.05.2016;ШЕЛОМЕНЦЕВА         ;3;31.05.2016;174;2
30;1;1999;2307;1;31.05.2016;Возобн.приост.ст208ч.1п.1                         ;20.05.2016;ШЕЛОМЕНЦЕВА         ;3;31.05.2016;174;2
31;1;1999;2313;1;31.05.2016;Возобн.приост.ст208ч.1п.1                         ;20.05.2016;ШЕЛОМЕНЦЕВА         ;3;31.05.2016;174;2
32;1;1999;2393;1;31.05.2016;Возобн.приост.ст208ч.1п.1                         ;20.05.2016;ШЕЛОМЕНЦЕВА         ;3;31.05.2016;174;2
33;1;1999;2593;1;31.05.2016;Возобн.приост.ст208ч.1п.1                         ;20.05.2016;ШЕЛОМЕНЦЕВА         ;3;31.05.2016;174;2
